,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
39727,4289,LGSY,small_airport,Skiros Airport,38.9676017761,24.4871997833,44.0,EU,GR,GR-H,Skiros Island,yes,LGSY,SKU,,,https://en.wikipedia.org/wiki/Skyros_Island_National_Airport,
39731,4293,LGTS,large_airport,Thessaloniki Macedonia International Airport,40.51969909667969,22.97089958190918,22.0,EU,GR,GR-B,Thessaloniki,yes,LGTS,SKG,,,https://en.wikipedia.org/wiki/Thessaloniki_International_Airport%2C_%22Macedonia%22,Makedonia. Macedonia. Salonica
39734,4295,LGZA,medium_airport,"Zakynthos International Airport ""Dionysios Solomos""",37.7509,20.8843,15.0,EU,GR,GR-F,Zakynthos Island,yes,LGZA,ZTH,,https://www.zth-airport.gr,https://en.wikipedia.org/wiki/Zakynthos_International_Airport,
39743,4296,LHBP,large_airport,Budapest Liszt Ferenc International Airport,47.42976,19.261093,495.0,EU,HU,HU-PE,Budapest,yes,LHBP,BUD,,http://www.bud.hu/english,https://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport,"Ferihegyi nemzetközi repülőtér, Budapest Liszt Ferenc international Airport"
39746,4297,LHDC,medium_airport,Debrecen International Airport,47.488899,21.615299,359.0,EU,HU,HU-HB,Debrecen,yes,LHDC,DEB,,http://www.airportdebrecen.hu/,https://en.wikipedia.org/wiki/Debrecen_International_Airport,Debreceni nemzetközi repülőtér
39773,30143,LHMC,closed,Miskolc Airfield,48.13603,20.789641,390.0,EU,HU,HU-BZ,Miskolc,no,LHMC,MCQ,,http://www.lhmc.hu/,https://en.wikipedia.org/wiki/Miskolc_Airport,
39781,4302,LHPP,medium_airport,Pécs-Pogány Airport,45.990898,18.240996,1000.0,EU,HU,HU-BA,Pécs-Pogány,no,LHPP,PEV,,http://www.airport-pecs.hu/,https://en.wikipedia.org/wiki/P%C3%A9cs-Pog%C3%A1ny_International_Airport,Pecs South Airport
39787,4305,LHSM,medium_airport,Hévíz–Balaton Airport,46.686391,17.159084,408.0,EU,HU,HU-ZA,Sármellék,yes,LHSM,SOB,,http://www.flybalaton.com/?null&lang=en,https://en.wikipedia.org/wiki/S%C3%A1rmell%C3%A9k_International_Airport,"Sármellék International, FlyBatalon Airport, Batalon Airport, Sármellék Nemzetközi Repülőtér"
39793,30003,LHTA,medium_airport,Taszár Air Base,46.39310073852539,17.917499542236328,531.0,EU,HU,HU-SO,Taszár,no,LHTA,TZR,,,,Kaland Taszar
39806,4307,LIAP,small_airport,L'Aquila–Preturo Airport,42.379902,13.3092,2211.0,EU,IT,IT-65,L'Aquila,no,LIAP,QAQ,AQ03,http://www.aeroportodeiparchi.it/,https://en.wikipedia.org/wiki/L%27Aquila%E2%80%93Preturo_Airport,"Parchi Airport, Preturo Airport, Aeroporto dei Parchi di I'Aquila Preturo"
