,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
27400,3212,HKLU,medium_airport,Manda Airport,-2.252431,40.912892,20.0,AF,KE,KE-300,Lamu,yes,HKLU,LAU,,http://www.kenyaairports.co.ke/kaa/airports/airstrips/manda_intro.html,https://en.wikipedia.org/wiki/Manda_Airport,
27407,31988,HKML,medium_airport,Malindi Airport,-3.2293100357055664,40.10169982910156,80.0,AF,KE,KE-300,Malindi,yes,HKML,MYD,,http://www.kenyaairports.co.ke/kaa/airports/malindi/,https://en.wikipedia.org/wiki/Malindi_Airport,
27409,3213,HKMO,large_airport,Moi International Airport,-4.03483,39.5942,200.0,AF,KE,KE-300,Mombasa,yes,HKMO,MBA,,http://www.kenyaairports.co.ke/kaa/airports/moi/,https://en.wikipedia.org/wiki/Moi_International_Airport,"Mombasa, Port Reitz"
27411,31594,HKMS,medium_airport,Mara Serena Lodge Airstrip,-1.406111,35.008057,5200.0,AF,KE,KE-700,Masai Mara,yes,HKMS,MRE,,,https://en.wikipedia.org/wiki/Mara_Serena_Airport,6100
27419,3215,HKNW,medium_airport,Nairobi Wilson Airport,-1.321720004081726,36.81480026245117,5536.0,AF,KE,KE-110,Nairobi,yes,HKNW,WIL,,http://www.kenyaairports.co.ke/kaa/airports/wilson/,https://en.wikipedia.org/wiki/Wilson_Airport,WLN
27420,32066,HKNY,medium_airport,Nanyuki Airport,-0.062399,37.041008,6250.0,AF,KE,KE-200,Nanyuki,yes,HKNL,NYK,,,https://en.wikipedia.org/wiki/Nanyuki_Airport,
27428,3217,HKWJ,medium_airport,Wajir Airport,1.73324,40.091599,770.0,AF,KE,KE-500,Wajir,yes,HKWJ,WJR,,,https://en.wikipedia.org/wiki/Wajir_Airport,
27457,3219,HLGD,medium_airport,Sirt International Airport / Ghardabiya Airbase,31.063499,16.594999,267.0,AF,LY,LY-SR,Sirt,yes,HLGD,SRX,,,https://en.wikipedia.org/wiki/Ghardabiya_Airbase,"Gardabiya, Sirte"
27459,3221,HLGT,medium_airport,Ghat Airport,25.1455993652,10.1426000595,2296.0,AF,LY,LY-GT,Ghat,yes,HLGT,GHT,,,https://en.wikipedia.org/wiki/Ghat_Airport,
27460,3222,HLKF,medium_airport,Kufra Airport,24.178699493408203,23.31399917602539,1367.0,AF,LY,LY-KF,Kufra,yes,HLKF,AKF,,,https://en.wikipedia.org/wiki/Kufra_Airport,
27461,3223,HLLB,medium_airport,Benina International Airport,32.096802,20.269501,433.0,AF,LY,LY-BA,Benina,yes,HLLB,BEN,,,https://en.wikipedia.org/wiki/Benina_International_Airport,"Benghazi, Soluch Airfield"
27462,3224,HLLM,large_airport,Mitiga International Airport,32.89177,13.287878,36.0,AF,LY,LY-TB,Tripoli,yes,HLLM,MJI,,,https://en.wikipedia.org/wiki/Mitiga_International_Airport,"Mellaha Army Airfield, Okba Ben Nafi Air Base, Wheelus Air Force Base"
27463,3225,HLLQ,medium_airport,Al Abraq International Airport,32.7887,21.9643,2157.0,AF,LY,LY-JA,Al Albraq,yes,HLLQ,LAQ,,,https://en.wikipedia.org/wiki/Al_Abraq_International_Airport,"Al Bayda, Beida"
27464,3226,HLLS,medium_airport,Sabha Airport,26.992452,14.466162,1427.0,AF,LY,LY-SB,Sabha,yes,HLLS,SEB,,,https://en.wikipedia.org/wiki/Sabha_Airport,Sebha
27466,3228,HLMB,medium_airport,Marsa al Brega Airport,30.378099,19.576401,50.0,AF,LY,LY-WA,Marsa al Brega,no,HLMB,LMQ,,,,
27473,3232,HLTD,medium_airport,Ghadames East Airport,30.15169906616211,9.715310096740724,1122.0,AF,LY,LY-NL,Ghadames,yes,HLTD,LTD,,,https://en.wikipedia.org/wiki/Ghadames_Airport,
27521,3236,HRYG,medium_airport,Gisenyi Airport,-1.6771999597549438,29.258899688720703,5082.0,AF,RW,RW-04,Gisenyi,no,HRYG,GYI,,,https://en.wikipedia.org/wiki/Grayson_County_Airport,
27525,3237,HRYR,large_airport,Kigali International Airport,-1.96863,30.1395,4859.0,AF,RW,RW-01,Kigali,yes,HRYR,KGL,,,https://en.wikipedia.org/wiki/Kigali_International_Airport,"Gregoire Kayibanda International Airport, Kanombe International Airport"
27527,3238,HRZA,medium_airport,Kamembe Airport,-2.462239980697632,28.907899856567383,5192.0,AF,RW,RW-04,Kamembe,yes,HRZA,KME,,,https://en.wikipedia.org/wiki/Kamembe_Airport,
27536,3239,HSDN,medium_airport,Dongola Airport,19.1539001465,30.4300994873,772.0,AF,SD,SD-01,Dongola,yes,HSDN,DOG,,,https://en.wikipedia.org/wiki/Dongola_Airport,
27539,3241,HSFS,medium_airport,El Fasher Airport,13.61489963531494,25.32460021972656,2393.0,AF,SD,SD-02,El Fasher,yes,HSFS,ELF,,,https://en.wikipedia.org/wiki/El_Fasher_Airport,El Fashir Airport
27546,3242,HSKA,medium_airport,Kassala Airport,15.387499809265137,36.328800201416016,1671.0,AF,SD,SD-05,Kassala,yes,HSKA,KSL,,,https://en.wikipedia.org/wiki/Kassala_Airport,
27555,300673,HSMN,medium_airport,Merowe Airport,18.443333,31.843333,897.0,AF,SD,SD-01,Merowe,no,HSMN,MWE,,,,Merowe International
27560,3244,HSNN,medium_airport,Nyala Airport,12.0535,24.9562,2106.0,AF,SD,SD-11,Nyala,yes,HSNN,UYL,,,https://en.wikipedia.org/wiki/Nyala_Airport,
27562,3245,HSOB,medium_airport,El Obeid Airport,13.153200149536133,30.23270034790039,1927.0,AF,SD,SD-09,Al-Ubayyid,yes,HSOB,EBD,,,https://en.wikipedia.org/wiki/El_Obeid_Airport,
27565,3246,HSPN,medium_airport,Port Sudan New International Airport,19.4335994720459,37.23410034179688,135.0,AF,SD,SD-26,Port Sudan,yes,HSPN,PZU,,,https://en.wikipedia.org/wiki/Port_Sudan_New_International_Airport,
27569,3249,HSSK,large_airport,Khartoum International Airport,15.5895,32.5532,1265.0,AF,SD,SD-03,Khartoum,yes,HSSK,KRT,,,https://en.wikipedia.org/wiki/Khartoum_International_Airport,HSSS
27570,3248,HSSM,medium_airport,Malakal Airport,9.55897,31.652201,1291.0,AF,SS,SS-23,Malakal,yes,HJMK,MAK,,,https://en.wikipedia.org/wiki/Malakal_Airport,HSSM
27577,30553,HSWW,medium_airport,Wau Airport,7.72583,27.975,1529.0,AF,SS,SS-14,Wau,yes,HJWW,WUU,,,https://en.wikipedia.org/wiki/Wau_Airport,
27598,3250,HTAR,medium_airport,Arusha Airport,-3.3677899837493896,36.63330078125,4550.0,AF,TZ,TZ-01,Arusha,yes,HTAR,ARK,,,https://en.wikipedia.org/wiki/Arusha_Airport,
27603,3251,HTDA,large_airport,Julius Nyerere International Airport,-6.87811,39.202599,182.0,AF,TZ,TZ-02,Dar es Salaam,yes,HTDA,DAR,,http://www.tanzaniairports.com/,https://en.wikipedia.org/wiki/Julius_Nyerere_International_Airport,"HTJN, Mwalimu Julius K. Nyerere, Dar es Salaam International Airport"
27604,3252,HTDO,medium_airport,Dodoma Airport,-6.17044,35.752602,3673.0,AF,TZ,TZ-03,Dodoma,yes,HTDO,DOD,,,https://en.wikipedia.org/wiki/Dodoma_Airport,
27606,318875,HTGW,medium_airport,Songwe Airport,-8.919942,33.273981,4412.0,AF,TZ,TZ-14,Mbeya,yes,HTGW,MBI,,,https://en.wikipedia.org/wiki/Songwe_Airport,
27607,3253,HTIR,medium_airport,Iringa Airport,-7.668630123138428,35.75210189819336,4678.0,AF,TZ,TZ-04,Nduli,no,HTIR,IRI,,,,
27613,3254,HTKJ,medium_airport,Kilimanjaro International Airport,-3.42941,37.074501,2932.0,AF,TZ,TZ-01,Arusha,yes,HTKJ,JRO,,http://www.kilimanjaroairport.co.tz/,https://en.wikipedia.org/wiki/Kilimanjaro_International_Airport,
27621,3255,HTLM,medium_airport,Lake Manyara Airport,-3.376310110092163,35.81829833984375,4150.0,AF,TZ,TZ-26,Lake Manyara National Park,no,HTLM,LKY,,,,
27634,3256,HTMT,medium_airport,Mtwara Airport,-10.336204,40.181997,371.0,AF,TZ,TZ-17,Mtwara,yes,HTMT,MYW,,,https://en.wikipedia.org/wiki/Mtwara_Airport,
27636,3257,HTMW,medium_airport,Mwanza Airport,-2.4444899559021,32.932701110839844,3763.0,AF,TZ,TZ-18,Mwanza,yes,HTMW,MWZ,,,https://en.wikipedia.org/wiki/Mwanza_Airport,
27643,3258,HTPE,medium_airport,Pemba Airport,-5.25726,39.811401,80.0,AF,TZ,TZ-25,Chake Chake,no,HTPE,PMA,,,,"Chake Chake, Karume, Thabit Kombo Jecha, Wawi"
27652,3259,HTTG,medium_airport,Tanga Airport,-5.09236,39.071201,129.0,AF,TZ,TZ-25,Tanga,yes,HTTG,TGT,,,https://en.wikipedia.org/wiki/Tanga_Airport,
27659,3260,HTZA,large_airport,Abeid Amani Karume International Airport,-6.22202,39.224899,54.0,AF,TZ,TZ-07,Zanzibar,yes,HTZA,ZNZ,,,https://en.wikipedia.org/wiki/Zanzibar_International_Airport,"HTAK, Zanzibar Airport, Kiembi Samaki"
27723,32234,HUAR,medium_airport,Arua Airport,3.049152,30.911714,3951.0,AF,UG,UG-N,Arua,yes,HUAR,RUA,,,https://en.wikipedia.org/wiki/Arua_Airport,
27725,3263,HUEN,large_airport,Entebbe International Airport,0.042386,32.443501,3782.0,AF,UG,UG-C,Kampala,yes,HUEN,EBB,,https://entebbe-airport.com/,https://en.wikipedia.org/wiki/Entebbe_International_Airport,
27727,3264,HUGU,medium_airport,Gulu Airport,2.805560111999512,32.27180099487305,3510.0,AF,UG,UG-N,Gulu,yes,HUGU,ULU,,,https://en.wikipedia.org/wiki/Gulu_Airport,
27744,3265,HUSO,medium_airport,Soroti Airport,1.7276899814605713,33.622798919677734,3697.0,AF,UG,UG-E,Soroti,yes,HUSO,SRT,,,https://en.wikipedia.org/wiki/Soroti_Airport,
27749,17659,HYL,seaplane_base,Hollis Clark Bay Seaplane Base,55.4816017151,-132.645996094,0.0,,US,US-AK,Hollis,yes,HYL,HYL,HYL,,https://en.wikipedia.org/wiki/Hollis_Seaplane_Base,
27750,351149,HZU,medium_airport,Chengdu Huaizhou Airport,30.677339,104.529397,1453.0,AS,CN,CN-51,Chengdu (Jintang),no,,HZU,,,,
27873,27302,IBL,medium_airport,Indigo Bay Lodge Airport,-21.708,35.452801,20.0,AF,MZ,MZ-I,Bazaruto Island,no,,IBL,,,https://en.wikipedia.org/wiki/Indigo_Bay_Lodge_Airport,
